slice_index,station,cx,cy,axis_a,axis_b,theta,equivalent_radius,candidate_aspect,inlier_ratio,perimeter_completeness,soil_inside_points,soil_inside_point_frac,soil_inside_pixels,void_outside_pixels,soil_inside_frac,void_outside_frac,balanced_accuracy,cavity_quality
74,0.24679534673690862,-0.0005610233031211441,0.002188987482439762,0.05936893651490769,0.027089113466915393,1.5089501423145506,0.04010301556818927,1.9496514896331008,0.6633333333333333,1.0,2325,0.7841483979763912,273,3638,0.9222972972972973,0.9706510138740662,0.05352584441431826,0.14318156267566048
75,0.2567953467369086,0.00975053157887939,0.0009757217910696872,0.05612051593291007,0.01674058076438619,1.56120238442047,0.030651101603594987,1.9542456722386348,0.5933333333333334,1.0,1509,0.4963815789473684,188,3607,0.9894736842105263,0.9359107420861442,0.037307786851664713,0.2988135964912281
76,0.26679534673690863,-0.0014672285639342336,0.001469156437806075,0.027591193279332443,0.056121437549072395,0.023881302144868485,0.03935044384159398,2.061251785055362,0.56,1.0,2255,0.7509157509157509,294,3589,0.9245283018867925,0.9632313472893183,0.05612017541194462,0.1394871794871795
77,0.27679534673690864,-0.0008638405832262979,-0.0033918962133391148,0.06660919018391899,0.027801219818932122,1.5852224827076264,0.04303274030623878,1.9689139295463505,0.63,1.0,2575,0.8675876010781671,251,3719,0.9296296296296296,0.9854266030736619,0.04247188364835424,0.08341981132075471
78,0.28679534673690865,-0.0011023076083451538,-0.0025748579206380496,0.02708294341559324,0.061539018722283394,0.0839479332730211,0.04082471998565004,1.9508891481756188,0.6283333333333333,1.0,2439,0.8068144227588488,265,3652,0.9464285714285714,0.9702444208289054,0.041663503871261574,0.12138493769985663
79,0.29679534673690866,0.0038336832980657245,0.004422511825170541,0.06125297929766674,0.02394303804522018,1.6153758349148897,0.03829598430262785,2.006203116193897,0.6,1.0,2149,0.7111184645929848,236,3655,0.9291338582677166,0.9643799472295514,0.05324309725136601,0.17332892124420912
80,0.30679534673690867,-0.00043675757028560684,-0.00491386486364621,0.0563989418440121,0.028097484579695707,1.5980983385398335,0.03980789367416072,1.9641886782984521,0.5733333333333334,1.0,2338,0.7744286187479298,301,3596,0.9290123456790124,0.9666666666666667,0.052160493827160495,0.1293275919178536
81,0.3167953467369087,0.002177842400234105,-0.0008997537896701895,0.02345998457218218,0.056545326309052193,0.10899359417100862,0.03642186819534895,1.9720856607927906,0.6,1.0,1952,0.6581254214430209,250,3597,0.9259259259259259,0.9531001589825119,0.060486957545781074,0.20512474713418746
82,0.3267953467369087,0.00047098092381893847,0.0004505366999227466,0.05979177927477735,0.02884511781420348,1.5234413868628431,0.04152951862834196,1.9533267308331872,0.5933333333333334,1.0,2437,0.8397656788421778,300,3640,0.9493670886075949,0.9763948497854077,0.03711903080349867,0.09507236388697451
83,0.3367953467369087,-0.0007181284411725929,0.0010460631269719107,0.05954409145062129,0.026404741518838138,1.6306781409543418,0.03965156168081801,1.9358132395194059,0.66,1.0,2236,0.7769284225156359,266,3643,0.9366197183098591,0.9688829787234042,0.04724865148336829,0.14722724113968033
